"anio","tipoInstitucion","institucion","uacad","carrera","titulo","gestion","nivel","estVarones","estMujeres","niVarones","niMujeres","reinsVarones","reinsMujeres","egVarones","egMujeres"
2010,"Universidad                                       ","Universidad CAECE","Departamento de Sistemas","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Privada                                           ","Grado               ",29,1,1,0,28,1,6,0
2010,"Universidad                                       ","Universidad Nacional de Córdoba","Facultad de Matemáticas, Astronomía y Física","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",497,128,123,38,374,90,12,1
2010,"Universidad                                       ","Universidad Nacional de Rosario","Facultad de Ciencias Exactas, Ingeniería y Agrimensura","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",260,38,55,5,205,33,20,0
2010,"Universidad                                       ","Universidad Nacional de Río Cuarto","Facultad de Ciencias Exactas, Físico-Químicas y Naturales","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",216,43,51,11,165,32,9,2
2010,"Universidad                                       ","Universidad Nacional de San Juan","Facultad de Ciencias Exactas, Físicas y Naturales","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",273,67,92,15,181,52,0,0
2010,"Universidad                                       ","Universidad Nacional de San Luis","Facultad de Cs. Físico-Matemáticas y Naturales","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",261,92,82,17,179,75,2,3
2010,"Universidad                                       ","Universidad Nacional del Comahue","Facultad de Economía y Administración","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",227,71,64,13,163,58,3,3
2010,"Universidad                                       ","Universidad Nacional del Sur","Departamento de Ciencias de la Computación","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",310,101,54,11,256,90,11,2
2010,"Universidad                                       ","Universidad de Buenos Aires","Facultad de Ciencias Exactas y Naturales","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",0,0,0,0,0,0,0,0
2011,"Universidad                                       ","Universidad CAECE","Departamento de Sistemas","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Privada                                           ","Grado               ",21,0,0,0,21,0,2,0
2011,"Universidad                                       ","Universidad Nacional de Córdoba","Facultad de Matemáticas, Astronomía y Física","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",540,123,160,40,380,83,10,1
2011,"Universidad                                       ","Universidad Nacional de Rosario","Facultad de Ciencias Exactas, Ingeniería y Agrimensura","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",257,35,55,9,202,26,20,1
2011,"Universidad                                       ","Universidad Nacional de Río Cuarto","Facultad de Ciencias Exactas, Físico-Químicas y Naturales","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",212,36,56,3,156,33,9,2
2011,"Universidad                                       ","Universidad Nacional de San Juan","Facultad de Ciencias Exactas, Físicas y Naturales","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",302,76,108,25,194,51,0,1
2011,"Universidad                                       ","Universidad Nacional de San Luis","Facultad de Cs. Físico-Matemáticas y Naturales","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",225,72,54,6,171,66,3,3
2011,"Universidad                                       ","Universidad Nacional del Comahue","Facultad de Informática","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",280,81,92,23,188,58,0,3
2011,"Universidad                                       ","Universidad Nacional del Sur","Departamento de Ciencias de la Computación","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",316,85,77,13,239,72,23,12
2011,"Universidad                                       ","Universidad de Buenos Aires","Facultad de Ciencias Exactas y Naturales","Computación, Sistemas e Informática","Licenciatura en Ciencias de la Computación","Estatal                                           ","Grado               ",0,371,345,55,0,316,25,1
